TLID,FNODE,TNODE,LENGTH
62057377,12605,12782,166.05748
62057378,12528,12548,178.45925
62057379,12781,12548,239.25449
62057380,12635,12604,51.4487
62057381,12635,12663,34.1785
62057382,12882,12788,89.42005
62057383,13051,13135,236.54607
62057384,13051,12882,480.90159
62057385,13268,13051,340.67335
62057386,12882,12832,238.84464
62057388,13187,13171,35.82274
62057390,13515,13211,394.78081
62057391,13521,13276,291.13824
62057392,13576,13521,107.52767
62057395,13391,13515,198.55565
62057396,13834,13515,404.81043
62057397,13135,13145,68.82199
62057398,13135,13269,198.47057
62057399,13268,13269,266.42471
62057400,13656,13268,504.76981
62057401,13269,13314,84.4814
62057402,13514,13314,307.60036
62057403,13631,13514,251.5719
62057405,12780,12750,103.23344
62057406,12780,12712,112.64613
62057407,12832,12780,44.71129
62057408,12832,12801,148.54335
62057409,12577,12595,68.82272
62057410,12595,12547,43.31654
62057411,12595,12594,33.30299
62057413,12594,12547,299.24961
62057414,12594,12634,213.63719
62057415,12546,12594,247.92439
62057419,12634,12628,111.34746
62057420,12634,12603,404.8786
62057421,12723,12634,224.76534
62057422,12805,12723,80.37797
62057423,12811,12805,71.88785
62057424,12811,12863,93.48948
62057425,12863,12805,58.70934
62057426,12813,12862,55.17166
62057427,12863,12603,741.3259
62057428,12923,12863,68.44487
62057430,13023,12923,113.53173
62057431,13189,13131,139.28494
62057432,12862,12865,100.32312
62057433,12978,12865,120.77827
62057434,12865,12838,429.75566
62057435,13023,13002,76.74852
62057436,13210,13023,287.1138
62057437,13002,12978,64.73072
62057438,13002,13068,78.87497
62057439,12978,12979,114.66498
62057440,13275,13486,275.92569
62057441,13155,13275,308.7013
62057442,13275,13443,355.18415
62057443,13540,13443,130.8348
62057444,13461,13496,57.02871
62057445,13496,13486,79.61506
62057446,13189,13118,119.41173
62057447,13023,13155,412.94632
62057448,13217,13186,48.67581
62057449,13210,13217,34.41141
62057451,13210,13189,80.65825
62057452,13306,13210,133.38702
62057453,13313,13155,199.55822
62057454,13495,13780,321.40143
62057456,13299,13299,188.45418
62057457,13299,13320,71.49712
62057459,13395,13320,174.00567
62057460,13576,13187,518.69394
62057461,13575,13576,66.60629
62057462,13575,13511,81.62942
62057463,13717,13575,205.0572
62057464,13515,13593,124.04846
62057465,13764,13735,65.4291
62057466,13823,13717,144.01581
62057467,13764,13717,76.03404
62057468,14043,13764,398.39579
62057469,13834,13823,189.511
62057470,13897,13834,95.69273
62057471,13929,13823,142.52013
62057472,13897,13929,280.88436
62057473,14033,13929,167.89334
62057474,14002,13897,181.98776
62057477,13656,13666,37.5395
62057478,13750,13666,102.8778
62057479,13592,13656,112.64496
62057480,13896,13514,457.38444
62057481,13896,13948,173.86893
62057482,13666,13896,436.49412
62057483,14027,13896,245.99662
62057485,14044,14003,69.28418
62057486,14043,14070,34.1762
62057487,14033,14043,135.72277
62057488,14129,14044,100.9189
62057489,14194,14195,99.90939
62057490,14194,14033,193.42923
62057491,14289,14194,112.59249
62057492,14280,14093,216.52736
62057493,14278,14140,164.56264
62057494,14289,14281,100.28408
62057495,14399,13576,988.30594
62057498,14278,14279,17.76166
62057499,14288,14278,144.57314
62057500,14387,14289,95.91507
62057501,14398,14387,111.34776
62057502,14398,14280,114.76217
62057503,14397,14398,177.6166
62057504,13948,14002,158.89444
62057505,14288,14002,352.79702
62057506,14128,14028,151.38829
62057507,14081,14128,195.74263
62057509,14081,14027,84.77158
62057510,14241,14081,187.23948
62057511,14059,14081,245.60109
62057512,14128,14288,278.5163
62057513,14358,14288,107.53083
62057514,14396,14397,155.41448
62057515,14478,14397,95.27391
62057516,14396,14358,44.70735
62057517,14386,14396,122.41814
62057518,14386,14358,116.29117
62057519,14241,14386,285.17877
62057520,14441,14386,157.85869
62057521,14511,14450,61.63881
62057522,14277,14241,280.88464
62057523,14665,14441,327.8675
62057524,14460,14241,332.21141
62057525,13443,13592,317.79835
62057526,13734,13750,255.9105
62057527,13857,13750,131.81389
62057528,13716,13734,101.4001
62057529,13886,13734,193.71979
62057530,13610,13496,157.13033
62057531,13610,13609,122.1111
62057532,13795,13610,289.5674
62057533,13756,13715,44.71388
62057535,13886,13857,308.77175
62057536,13756,13795,129.56539
62057537,13795,13961,246.39276
62057538,13967,13961,34.41122
62057540,13955,13967,145.34938
62057541,13867,13955,220.07402
62057544,13912,13776,173.62564
62057545,13763,13776,133.49332
62057546,13866,13780,245.15305
62057547,13780,13867,113.04196
62057548,14001,13867,280.78813
62057549,13814,13866,170.06588
62057550,13866,13981,211.90825
62057551,13776,13814,108.8953
62057552,13885,13912,148.41542
62057553,13954,13912,88.79412
62057554,14000,13954,95.70972
62057555,14059,13857,303.17192
62057557,14193,14059,166.50113
62057558,14172,14193,95.32797
62057559,14277,14193,103.94568
62057560,14298,14150,211.95757
62057566,14309,14212,219.76451
62057568,14309,14378,222.01268
62057569,14522,14378,236.40708
62057570,14001,13955,419.2147
62057571,14179,14001,230.67562
62057572,14126,14139,78.18841
62057573,14211,14126,86.6304
62057574,13981,13814,244.85022
62057575,13981,13954,98.80902
62057576,14092,13981,198.06296
62057577,13895,14000,371.49074
62057578,14057,14000,140.81539
62057579,14138,14058,158.72306
62057580,14218,14179,84.4007
62057581,14125,14092,88.96513
62057582,14092,14138,76.04478
62057583,14183,14125,68.36502
62057584,14211,14203,45.24117
